,id,name,county,state_code,state,zip_codes,type,population,median_income
14397,39854,Freeport,Brazoria County,TX,Texas,77541 / 77542,City,12153,32060
17467,14827,Harwich,Barnstable County,MA,Massachusetts,02645 / 02646 / 02661 / 02671,Town,12153,68267
31504,14997,Pepperell,Middlesex County,MA,Massachusetts,1463,Town,12152,80524
14619,41615,Gainesville,Prince William County,VA,Virginia,20136 / 20137 / 20155 / 20156 / 20169,CDP,12145,127044
36730,32196,Shawnee,Allen County,OH,Ohio,45804 / 45805 / 45806,Township,12144,64685
19099,41668,Huntington,Fairfax County,VA,Virginia,22303 / 22310,CDP,12144,86970
18520,4636,Holly Hill,Volusia County,FL,Florida,32117 / 32174,City,12142,27259
18192,28914,Highlands,Orange County,NY,New York,10911 / 10922 / 10928 / 10996 / 10997,Town,12138,87394
5685,15261,California,St. Mary's County,MD,Maryland,20619 / 20634 / 20653,CDP,12132,86031
10797,41561,Dranesville,Fairfax County,VA,Virginia,20170,CDP,12128,170077
45135,14640,Woodmere,Jefferson Parish,LA,Louisiana,70058,CDP,12124,50836
13968,2421,Fortuna,Humboldt County,CA,California,95540,City,12122,44077
15248,33571,Gladstone,Clackamas County,OR,Oregon,97027,City,12116,55848
1114,16325,Antwerp,Van Buren County,MI,Michigan,49065 / 49071 / 49079,Township,12115,59025
7141,3529,Cherry Creek,Arapahoe County,CO,Colorado,80111,CDP,12113,104400
8034,18659,Cloquet,Carlton County,MN,Minnesota,55720,City,12111,46064
43946,15155,Weston,Middlesex County,MA,Massachusetts,2493,Town,12111,199519
30835,14992,Palmer Town,Hampden County,MA,Massachusetts,01009 / 01069 / 01079 / 01080 / 01095,City,12108,51376
41602,37192,Valley Falls,Providence County,RI,Rhode Island,2864,CDP,12108,58281
10444,2297,Diamond Springs,El Dorado County,CA,California,95619 / 95623 / 95667 / 95682,CDP,12105,53079
13396,21292,Festus,Jefferson County,MO,Missouri,63028 / 63048,City,12104,45686
34524,17797,Riverview,Wayne County,MI,Michigan,48193,City,12103,49796
13133,15874,Falmouth,Cumberland County,ME,Maine,04062 / 04105,Town,12102,98517
38050,11389,Speedway,Marion County,IN,Indiana,46222 / 46224,Town,12102,37861
7870,22287,Cleveland,Bolivar County,MS,Mississippi,38732 / 38733,City,12101,32692
4146,26764,Bordentown,Burlington County,NJ,New Jersey,08505 / 08610 / 08620,Township,12095,86104
35277,40701,Royse City,Collin County / Hunt County / Rockwall County,TX,Texas,75173 / 75189,City,12093,75625
34221,40656,Richmond,Fort Bend County,TX,Texas,77406 / 77469,City,12092,46559
12726,45480,Evanston,Uinta County,WY,Wyoming,82930 / 82931,City,12090,50604
27632,2851,Mountain House,San Joaquin County,CA,California,95304 / 95391,CDP,12088,106976
36857,14078,Shepherdsville,Bullitt County,KY,Kentucky,40150 / 40165,City,12082,45945
6184,34210,Carnot-Moon,Allegheny County,PA,Pennsylvania,15108,CDP,12081,57639
13634,4536,Florida City,Miami-Dade County,FL,Florida,33034 / 33035,City,12078,25840
865,30226,Amherst,Lorain County,OH,Ohio,44001 / 44053,City,12078,63354
33886,15023,Rehoboth,Bristol County,MA,Massachusetts,2769,Town,12068,88868
1907,39402,Azle,Parker County / Tarrant County,TX,Texas,76020 / 76098,City,12064,55830
1301,11765,Arkansas City,Cowley County,KS,Kansas,67005,City,12063,38757
24565,4782,Mango,Hillsborough County,FL,Florida,33550 / 33584 / 33610,CDP,12062,36469
2386,28171,Bath,Steuben County,NY,New York,14810 / 14821 / 14856 / 14879,Town,12057,40931
28307,35782,New Garden,Chester County,PA,Pennsylvania,19311 / 19348 / 19350 / 19374,Township,12053,111272
