,id,name,county,state_code,state,zip_codes,type,population,median_income
22085,40175,Laredo Ranchettes West,Webb County,TX,Texas,78043,CDP,0,0
40477,327,Tolsona,Valdez-Cordova Census Area,AK,Alaska,99588,CDP,0,0
35136,27302,Ross Corner,Sussex County,NJ,New Jersey,7822,CDP,0,0
35105,14057,Rosine,Ohio County,KY,Kentucky,42320 / 42349 / 42370,CDP,0,0
41627,3352,Valley Wells,Inyo County,CA,California,93592,CDP,0,0
35088,6791,Roseville,Floyd County,IA,Iowa,50468 / 50653,CDP,0,0
30775,2941,Pala,San Diego County,CA,California,92059 / 92082,CDP,0,0
21445,40123,Lago Vista,Starr County,TX,Texas,78545 / 78584,CDP,0,0
19373,33039,Indianola,Delaware County,OK,Oklahoma,74346,CDP,0,0
23724,40255,Los Centenarios,Webb County,TX,Texas,78043,CDP,0,0
19379,40036,Indio,Starr County,TX,Texas,78584,CDP,0,0
14546,3619,Fulford,Eagle County,CO,Colorado,81631,CDP,0,0
2008,15209,Bakersville,Washington County,MD,Maryland,21713,CDP,0,0
40971,29963,Tuscarora,Livingston County,NY,New York,14510,CDP,0,0
27161,27725,Moquino,Cibola County,NM,New Mexico,87014,CDP,0,0
30908,33214,Panola,Latimer County,OK,Oklahoma,74559 / 74563 / 74578,CDP,0,0
1996,20940,Baker,Stoddard County,MO,Missouri,63846,Village,0,0
43018,27908,Watrous,Mora County,NM,New Mexico,87753,CDP,0,0
37954,15076,Southfield,Plymouth County,MA,Massachusetts,2370,CDP,0,0
11117,39781,E. Lopez,Starr County,TX,Texas,78582,CDP,0,0
14074,45489,Fox Park,Albany County,WY,Wyoming,82070,CDP,0,0
11157,34548,Eagle Lake,Lackawanna County,PA,Pennsylvania,18424 / 18444,CDP,0,0
8028,2203,Clipper Mills,Butte County,CA,California,95930 / 95941,CDP,0,0
22107,24560,Larson,Burke County,ND,North Dakota,58727,CDP,0,0
34680,25000,Rock Island,Williams County,ND,North Dakota,58830,Township,0,0
34663,3811,Rock Creek Park,El Paso County,CO,Colorado,80926,CDP,0,0
20732,42617,Ketron Island,Pierce County,WA,Washington,98388,CDP,0,0
12558,15359,Ernstville,Washington County,MD,Maryland,21711,CDP,0,0
12501,33552,Eola,Polk County,OR,Oregon,97304,CDP,0,0
20798,38212,Kidder,Marshall County,SD,South Dakota,57430,CDP,0,0
39007,863,Stockton,Baldwin County,AL,Alabama,36507 / 36579,CDP,0,0
33953,9339,Rentchler,St. Clair County,IL,Illinois,62221,CDP,0,0
25110,40306,Martinez,Starr County,TX,Texas,78582,CDP,0,0
25142,42693,Maryhill,Klickitat County,WA,Washington,98620,CDP,0,0
6279,45451,Carter,Uinta County,WY,Wyoming,82937,CDP,0,0
44676,3425,Wilsonia,Tulare County,CA,California,93633,CDP,0,0
9599,37884,Dakota Dunes,Union County,SD,South Dakota,57049,CDP,0,0
42120,3369,Volcano,Amador County,CA,California,95665 / 95689,CDP,0,0
31690,248,Petersville,Matanuska-Susitna Borough,AK,Alaska,99683,CDP,0,0
39096,38693,Storla,Aurora County,SD,South Dakota,57359,CDP,0,0
21222,40111,La Casita,Starr County,TX,Texas,78582,CDP,0,0
21225,40112,La Chuparosa,Starr County,TX,Texas,78582,CDP,0,0
21228,40114,La Coma,Webb County,TX,Texas,78043,CDP,0,0
39100,3252,Storrie,Plumas County,CA,California,95915 / 95980,CDP,0,0
39315,3258,Sugarloaf Saw Mill,Tulare County,CA,California,93260,CDP,0,0
11895,42519,Elbe,Pierce County,WA,Washington,98330,CDP,0,0
21282,27662,La Joya,Socorro County,NM,New Mexico,87028,CDP,0,0
649,1954,Almanor,Plumas County,CA,California,95923,CDP,0,0
25543,45539,McKinnon,Sweetwater County,WY,Wyoming,82938,CDP,0,0
8260,32863,Coleman,Johnston County,OK,Oklahoma,73432,CDP,0,0
11855,39779,El Mesquite,Starr County,TX,Texas,78582,CDP,0,0
39314,3257,Sugarloaf Mountain Park,Tulare County,CA,California,93260,CDP,0,0
6613,2168,Cedar Slope,Tulare County,CA,California,93208,CDP,0,0
6152,32820,Carlton Landing,Pittsburg County,OK,Oklahoma,74432,Town,0,0
21608,4716,Lake Harbor,Palm Beach County,FL,Florida,33440 / 33459,CDP,0,0
6103,2142,Caribou,Plumas County,CA,California,95984,CDP,0,0
6988,37145,Charlestown,Washington County,RI,Rhode Island,02813 / 02879,CDP,0,0
42569,33405,Wardville,Atoka County,OK,Oklahoma,74576,CDP,0,0
5593,41107,Cache,Cache County,UT,Utah,84304,CDP,0,0
13330,27612,Fence Lake,Cibola County,NM,New Mexico,87315,CDP,0,0
1462,11771,Asherville,Mitchell County,KS,Kansas,67420,CDP,0,0
34604,3077,Robinson Mill,Butte County,CA,California,95966,CDP,0,0
39537,40871,Sunset Acres,Webb County,TX,Texas,78045,CDP,0,0
23242,2697,Little Grass Valley,Plumas County,CA,California,95981,CDP,0,0
13017,15366,Fairview,Washington County,MD,Maryland,21722 / 21740,CDP,0,0
44970,3906,Wolcott,Eagle County,CO,Colorado,81631 / 81632 / 81655,CDP,0,0
26370,6598,Miller,Hancock County,IA,Iowa,50438,CDP,0,0
5887,1529,Campo Bonito,Pinal County,AZ,Arizona,85623,CDP,0,0
12949,2385,Fairhaven,Humboldt County,CA,California,95564,CDP,0,0
21724,27665,Lake Roberts Heights,Grant County,NM,New Mexico,88061,CDP,0,0
23574,45529,Lonetree,Uinta County,WY,Wyoming,82930 / 82936,CDP,0,0
12889,42097,Fairfax,Franklin County,VT,Vermont,5454,CDP,0,0
12766,39804,Evergreen,Starr County,TX,Texas,78584,CDP,0,0
5987,27529,Canova,Rio Arriba County,NM,New Mexico,87582,CDP,0,0
34478,27804,Rivers,Catron County,NM,New Mexico,87830,CDP,0,0
34472,40664,Rivereno,Starr County,TX,Texas,78582,CDP,0,0
44928,44973,Wiota,Lafayette County,WI,Wisconsin,53504 / 53541 / 53587,CDP,0,0
31517,769,Perdido,Baldwin County,AL,Alabama,36562,CDP,0,0
38762,857,Stapleton,Baldwin County,AL,Alabama,36507 / 36527 / 36551 / 36578,CDP,0,0
26026,6593,Meyer,Mitchell County,IA,Iowa,50455,CDP,0,0
12703,93,Eureka Roadhouse,Matanuska-Susitna Borough,AK,Alaska,99588 / 99674,CDP,0,0
25953,200,Mertarvik,Bethel Census Area,AK,Alaska,99559,CDP,0,0
6073,37785,Caputa,Pennington County,SD,South Dakota,57703 / 57725,CDP,0,0
11185,15339,Eakles Mill,Washington County,MD,Maryland,21756,CDP,0,0
45549,41071,Yznaga,Cameron County,TX,Texas,78569 / 78593,CDP,0,0
25441,1701,McConnico,Mohave County,AZ,Arizona,86401 / 86413,CDP,0,0
22122,40184,Las Pilas,Webb County,TX,Texas,78044,CDP,0,0
41371,3338,University of California-Merced,Merced County,CA,California,95340,CDP,0,0
22594,33095,Lequire,Haskell County,OK,Oklahoma,74943 / 74944,CDP,0,0
28904,1726,Nolic,Pima County,AZ,Arizona,85634,CDP,0,0
1076,45424,Antelope Hills,Natrona County,WY,Wyoming,82601,CDP,0,0
35786,27831,San Luis,Sandoval County,NM,New Mexico,87053,CDP,0,0
18082,3653,Hidden Lake,Boulder County,CO,Colorado,80481,CDP,0,0
33414,28014,Rachel,Lincoln County,NV,Nevada,89001,CDP,0,0
39900,5772,Tate City,Towns County,GA,Georgia,30546,CDP,0,0
39896,1853,Tat Momoli,Pinal County,AZ,Arizona,85193,CDP,0,0
29964,38437,Ola,Brule County,SD,South Dakota,57325,CDP,0,0
40634,3873,Trail Side,Morgan County,CO,Colorado,80701,CDP,0,0
909,39367,Anacua,Starr County,TX,Texas,78582,CDP,0,0
28657,27743,Newkirk,Guadalupe County,NM,New Mexico,88417 / 88431,CDP,0,0
33440,26127,Raeville,Boone County,NE,Nebraska,68652,CDP,0,0
15901,2473,Graniteville,Nevada County,CA,California,95959,CDP,0,0
30067,40473,Olivia Lopez de Gutierrez,Starr County,TX,Texas,78582,CDP,0,0
22113,40179,Las Haciendas,Webb County,TX,Texas,78044,CDP,0,0
44159,26348,White Clay,Sheridan County,NE,Nebraska,69365,CDP,0,0
33441,40609,Rafael Pena,Starr County,TX,Texas,78582,CDP,0,0
23633,40241,Longoria,Starr County,TX,Texas,78582,CDP,0,0
15770,1638,Grand Canyon West,Mohave County,AZ,Arizona,86434,CDP,0,0
18298,39989,Hillside Acres,Webb County,TX,Texas,78043,CDP,0,0
39892,22072,Tarrants,Pike County,MO,Missouri,63334,Village,0,0
32545,258,Point Possession,Kenai Peninsula Borough,AK,Alaska,99611 / 99635 / 99672,CDP,0,0
3015,39448,Benjamin Perez,Starr County,TX,Texas,78582,CDP,0,0
9777,7845,Darmstadt,St. Clair County,IL,Illinois,62255,CDP,0,0
35950,40749,Santa Anna,Starr County,TX,Texas,78582 / 78591,CDP,0,0
24115,3721,Lynn,Las Animas County,CO,Colorado,81020,CDP,0,0
28981,3755,Norrie,Pitkin County,CO,Colorado,81642,CDP,0,0
33240,40594,Pueblo East,Webb County,TX,Texas,78044,CDP,0,0
17397,2505,Hartland,Tulare County,CA,California,93603,CDP,0,0
29386,40451,Northridge,Starr County,TX,Texas,78584,CDP,0,0
17441,21415,Hartwell,Henry County,MO,Missouri,64788,CDP,0,0
36456,42850,Sekiu,Clallam County,WA,Washington,98381,CDP,0,0
16853,38092,Hamill,Tripp County,SD,South Dakota,57534,CDP,0,0
2247,39416,Barrera,Starr County,TX,Texas,78582,CDP,0,0
23511,40235,Loma Linda East,Starr County,TX,Texas,78582,CDP,0,0
16808,41186,Halls Crossing,San Juan County,UT,Utah,84533,CDP,0,0
22897,661,Lillian,Baldwin County,AL,Alabama,36549,CDP,0,0
16597,39932,Guerra,Jim Hogg County,TX,Texas,78360 / 78361,CDP,0,0
40756,27885,Trout Valley,Grant County,NM,New Mexico,88061,CDP,0,0
44057,929,Whatley,Clarke County,AL,Alabama,36482,CDP,0,0
17639,6402,Hayfield,Hancock County,IA,Iowa,50438,CDP,0,0
10237,75,Denali Park,Denali Borough,AK,Alaska,99743 / 99755,CDP,0,0
29723,45552,Oakley,Lincoln County,WY,Wyoming,83101,CDP,0,0
29759,28004,Oasis,Elko County,NV,Nevada,89830,CDP,0,0
29760,41284,Oasis,Millard County,UT,Utah,84624,CDP,0,0
40741,3320,Trona,Inyo County,CA,California,93562 / 93592,CDP,0,0
17714,128,Healy Lake,Southeast Fairbanks Census Area,AK,Alaska,99706,CDP,0,0
33356,40603,Quesada,Starr County,TX,Texas,78582,CDP,0,0
7781,41123,Clear Creek,Carbon County,UT,Utah,84526,CDP,0,0
35977,22870,Santa Rita,Glacier County,MT,Montana,59427,CDP,0,0
32658,259,Pope-Vannoy Landing,Lake and Peninsula Borough,AK,Alaska,99613,CDP,0,0
16441,1641,Greer,Apache County,AZ,Arizona,85927,CDP,0,0
35961,1801,Santa Cruz,Pinal County,AZ,Arizona,85339,CDP,0,0
40213,40903,Thompsonville,Jim Hogg County,TX,Texas,78361,CDP,0,0
15748,37336,Gramling,Spartanburg County,SC,South Carolina,29322 / 29348 / 29349,CDP,0,0
7584,32851,Clarita,Coal County,OK,Oklahoma,74535 / 74538,CDP,0,0
27856,208,Nabesna,Valdez-Cordova Census Area,AK,Alaska,99586,CDP,0,0
416,8,Alcan Border,Southeast Fairbanks Census Area,AK,Alaska,99764,CDP,0,0
3714,32768,Blanco,Pittsburg County,OK,Oklahoma,74528,CDP,0,0
23702,187,Loring,Ketchikan Gateway Borough,AK,Alaska,99901,CDP,0,0
4057,412,Bon Secour,Baldwin County,AL,Alabama,36511 / 36535,CDP,0,0
41548,40958,Valle Hermoso,Starr County,TX,Texas,78582,CDP,0,0
7423,38967,Christiana,Rutherford County,TN,Tennessee,37020 / 37037 / 37127 / 37128,CDP,0,0
3924,3494,Blue Sky,Morgan County,CO,Colorado,80701,CDP,0,0
10661,79,Dot Lake,Southeast Fairbanks Census Area,AK,Alaska,99737,CDP,0,0
4063,41101,Bonanza,Uintah County,UT,Utah,84035,CDP,0,0
18871,5503,Howard,Taylor County,GA,Georgia,31039 / 31058 / 31812,CDP,0,0
3478,37704,Bijou Hills,Brule County,SD,South Dakota,57369,CDP,0,0
45562,27480,Zarephath,Somerset County,NJ,New Jersey,08873 / 08890,CDP,0,0
37165,3202,Silver City,Tulare County,CA,California,93271,CDP,0,0
23672,40244,Lope̱o,Zapata County,TX,Texas,78564,CDP,0,0
24460,42676,Malo,Ferry County,WA,Washington,99150,CDP,0,0
9238,37872,Crocker,Clark County,SD,South Dakota,57217,CDP,0,0
18766,37164,Hopkinton,Washington County,RI,Rhode Island,02804 / 02833,CDP,0,0
33491,40611,Ramireno,Zapata County,TX,Texas,78067,CDP,0,0
27931,40405,Narciso Pena,Starr County,TX,Texas,78582,CDP,0,0
15435,14339,Gloster,De Soto Parish,LA,Louisiana,71030,CDP,0,0
18683,2540,Hoopa,Humboldt County,CA,California,95546,CDP,0,0
3372,20977,Biehle,Perry County,MO,Missouri,63775,CDP,0,0
18379,129,Hobart Bay,Petersburg Borough,AK,Alaska,99820,CDP,0,0
24370,1246,Magnet Cove,Hot Spring County,AR,Arkansas,72104 / 72105,CDP,0,0
22148,33084,Latta,Pontotoc County,OK,Oklahoma,74820,CDP,0,0
15686,32986,Gowen,Latimer County,OK,Oklahoma,74545 / 74547 / 74578,CDP,0,0
7396,53,Chisana,Valdez-Cordova Census Area,AK,Alaska,99566,CDP,0,0
44556,1918,Willow Canyon,Pima County,AZ,Arizona,85619,CDP,0,0
15665,21356,Goss,Monroe County,MO,Missouri,65275,Town,0,0
44884,22946,Winston,Broadwater County,MT,Montana,59647,CDP,0,0
30371,24849,Orrin,Pierce County,ND,North Dakota,58368,CDP,0,0
22201,42654,Laurier,Ferry County,WA,Washington,99146,CDP,0,0
19117,45511,Huntley,Goshen County,WY,Wyoming,82218 / 82240,CDP,0,0
8637,32868,Connerville,Johnston County,OK,Oklahoma,74836,CDP,0,0
15201,43664,Gilmanton,Buffalo County,WI,Wisconsin,54743 / 54755,CDP,0,0
44885,27918,Winston,Sierra County,NM,New Mexico,87943,CDP,0,0
43994,3410,Westside,Fresno County,CA,California,93624,CDP,0,0
41549,40959,Valle Verde,Webb County,TX,Texas,78044,CDP,0,0
35470,45580,Ryan Park,Carbon County,WY,Wyoming,82331,CDP,0,0
423,45419,Alcova,Natrona County,WY,Wyoming,82620,CDP,0,0
39766,45595,Table Rock,Sweetwater County,WY,Wyoming,82901,CDP,0,0
26816,25995,Monowi,Boyd County,NE,Nebraska,68746,Village,1,41631
327,7,Alatna,Yukon-Koyukuk Census Area,AK,Alaska,99720,CDP,2,34310
39545,1845,Sunwest,La Paz County,AZ,Arizona,85348,CDP,2,37658
23768,33111,Lotsee,Tulsa County,OK,Oklahoma,74063,Town,2,58913
16514,25785,Gross,Boyd County,NE,Nebraska,68719,Village,2,41631
5508,37773,Butte,Mellette County,SD,South Dakota,57585,Township,2,55189
11050,27587,Duran,Torrance County,NM,New Mexico,88301,CDP,2,26816
25100,38332,Martin,Perkins County,SD,South Dakota,57626,Township,2,51404
18300,38139,Hillsview,McPherson County,SD,South Dakota,57437,Town,3,56928
6065,32818,Capron,Woods County,OK,Oklahoma,73717,Town,3,48922
42582,7223,Warm River,Fremont County,ID,Idaho,83420,City,3,45683
44235,38861,White Rock,Roberts County,SD,South Dakota,57260,Town,3,25833
29980,33204,Old Eucha,Delaware County,OK,Oklahoma,74338 / 74342,CDP,3,37101
32316,38504,Pleasant,Lyman County,SD,South Dakota,57544 / 57569,Township,3,48032
1909,1505,Aztec,Yuma County,AZ,Arizona,85333,CDP,3,35732
17210,24386,Harper,Slope County,ND,North Dakota,58651,Township,4,79039
28515,38401,New Surprise Valley,Mellette County,SD,South Dakota,57579,Township,4,55189
33823,24964,Redmond,Mountrail County,ND,North Dakota,58718 / 58769,Township,4,104886
18697,33030,Hoot Owl,Mayes County,OK,Oklahoma,74365,Town,4,42054
22903,38279,Lily,Day County,SD,South Dakota,57274,Town,4,54744
13163,24195,Fargo,Cass County,ND,North Dakota,58102,Township,4,88914
33999,24974,Rexine,Kidder County,ND,North Dakota,58418 / 58475,Township,4,72147
32872,3020,Poso Park,Tulare County,CA,California,93260,CDP,4,29257
1457,23760,Ashby,Hettinger County,ND,North Dakota,58646,Township,4,69890
35383,25039,Ruso,McLean County,ND,North Dakota,58778,City,4,56494
23763,45530,Lost Springs,Converse County,WY,Wyoming,82224 / 82229,Town,4,72994
22054,24555,Lansing,Towner County,ND,North Dakota,58352 / 58365 / 58372,Township,4,82347
34187,24983,Richland Center,Slope County,ND,North Dakota,58623 / 58651,Township,5,79039
17009,19208,Hangaard,Clearwater County,MN,Minnesota,56644,Township,5,44145
2963,29,Beluga,Kenai Peninsula Borough,AK,Alaska,99682,CDP,5,13125
6507,21082,Cave,Lincoln County,MO,Missouri,63377 / 63379,Town,5,39805
44024,38849,Weta,Jackson County,SD,South Dakota,57543 / 57567 / 57750,Township,5,45066
42597,3378,Warner Valley,Plumas County,CA,California,96020,CDP,5,46312
40288,45373,Thurmond,Fayette County,WV,West Virginia,25936,Town,5,36207
17791,24415,Heimdal,Wells County,ND,North Dakota,58341,CDP,5,57767
22426,12644,Lees,Logan County,KS,Kansas,67764 / 67871,Township,5,45777
41799,38771,Verdon,Brown County,SD,South Dakota,57434,Town,5,69482
14389,12292,Freeport,Harper County,KS,Kansas,67049,City,5,43681
14539,15896,Frye Island,Cumberland County,ME,Maine,4071,Town,5,61563
42088,38786,Virgil,Jones County,SD,South Dakota,57531,Township,5,46119
33882,27796,Regina,Sandoval County,NM,New Mexico,87046,CDP,5,43838
804,39361,Amargosa,Jim Wells County,TX,Texas,78332,CDP,5,45267
33196,38532,Prospect,Mellette County,SD,South Dakota,57521 / 57579,Township,5,55189
10188,23119,Dellview,Gaston County,NC,North Carolina,28021,Town,5,43711
39911,27374,Tavistock,Camden County,NJ,New Jersey,8033,Borough,5,68956
14582,19057,Funkley,Beltrami County,MN,Minnesota,56630,City,5,23750
22657,12657,Lewis,Gove County,KS,Kansas,67738 / 67748 / 67871,Township,6,39250
25260,24665,Mauch,Sheridan County,ND,North Dakota,58444,Township,6,55507
21922,33079,Lambert,Alfalfa County,OK,Oklahoma,73728,Town,6,43179
23920,38311,Lowry,Walworth County,SD,South Dakota,57472,Town,6,38726
40260,22080,Three Creeks,Warren County,MO,Missouri,63357,Village,6,48187
33000,38525,Prairie City,Perkins County,SD,South Dakota,57649,CDP,6,51404
12765,24182,Evergreen,Ward County,ND,North Dakota,58718,Township,6,72588
18990,24457,Hughes,Slope County,ND,North Dakota,58643 / 58651,Township,6,79039
29940,38434,Okaton,Jones County,SD,South Dakota,57562,CDP,6,46119
34804,38591,Rocky Ford,Mellette County,SD,South Dakota,57521,Township,6,55189
13655,1611,Flowing Springs,Gila County,AZ,Arizona,85541,CDP,6,44882
28360,24784,New Home,Williams County,ND,North Dakota,58795 / 58849 / 58852,Township,6,92270
1050,25428,Anoka,Boyd County,NE,Nebraska,68722,Village,6,41631
38656,22899,St. Xavier,Big Horn County,MT,Montana,59075,CDP,6,32318
4941,25527,Brownlee,Cherry County,NE,Nebraska,69166,CDP,6,46648
13027,24189,Fairview,Sheridan County,ND,North Dakota,58341 / 58444 / 58758,Township,6,55507
25424,2776,McClenney Tract,Tulare County,CA,California,93260,CDP,6,29257
44459,38868,William Hamilton,Hyde County,SD,South Dakota,57345,Township,6,54844
37840,14090,South Park View,Jefferson County,KY,Kentucky,40219,City,7,56250
207,11723,Aetna,Barber County,KS,Kansas,67057 / 67071,Township,7,52116
30522,6691,Otranto,Mitchell County,IA,Iowa,50472,CDP,7,36458
23488,12739,Logansport,Logan County,KS,Kansas,67747 / 67748 / 67764,Township,7,36667
9340,24033,Crown Hill,Kidder County,ND,North Dakota,58532,Township,7,72147
15906,24328,Grano,Renville County,ND,North Dakota,58750,City,7,81083
15866,38068,Grandview II,Jackson County,SD,South Dakota,57567,Township,7,45066
19166,22757,Huson,Missoula County,MT,Montana,59846,CDP,7,51949
18715,24448,Hope,Ramsey County,ND,North Dakota,58321 / 58327 / 58344,Township,7,70313
31138,27760,Pastura,Guadalupe County,NM,New Mexico,88435,CDP,7,22385
8531,37855,Conata,Pennington County,SD,South Dakota,57780 / 57790,Township,7,55679
19273,38169,Imlay,Pennington County,SD,South Dakota,57780 / 57790,Township,7,55679
27405,24750,Mound,Slope County,ND,North Dakota,58643 / 58651,Township,7,79039
3130,23816,Bergen,McHenry County,ND,North Dakota,58792,City,7,72512
41634,28042,Valmy,Humboldt County,NV,Nevada,89438,CDP,7,40970
13698,23184,Fontana Dam,Graham County,NC,North Carolina,28733 / 28771,Town,7,39375
13384,100,Ferry,Denali Borough,AK,Alaska,99743 / 99760,CDP,7,58043
8919,3550,Cotopaxi,Fremont County,CO,Colorado,81223,CDP,7,42352
45311,25395,Writing Rock,Divide County,ND,North Dakota,58844 / 58845,Township,7,90381
31719,21849,Phelps City,Atchison County,MO,Missouri,64482,CDP,7,39245
40295,882,Tibbie,Washington County,AL,Alabama,36529 / 36583,CDP,7,48168
7739,7040,Clayton,Custer County,ID,Idaho,83227,City,7,33479
12040,24142,Elk Creek,Golden Valley County,ND,North Dakota,58621 / 58654,Township,7,70772
16434,38082,Greenwood,Tripp County,SD,South Dakota,57541 / 57580 / 57584,Township,7,54407
33361,24950,Quinby,Kidder County,ND,North Dakota,58428 / 58478 / 58482,Township,7,72147
32863,3019,Posey,Tulare County,CA,California,93260,CDP,8,29257
29184,24813,North Loma,Cavalier County,ND,North Dakota,58249 / 58311,Township,8,85218
42144,38794,Vrooman,Perkins County,SD,South Dakota,57626,Township,8,51404
16739,1645,Haigler Creek,Gila County,AZ,Arizona,85554,CDP,8,44882
31932,20107,Pine Bend,Mahnomen County,MN,Minnesota,56651,CDP,8,11250
1701,23767,Auburn,Walsh County,ND,North Dakota,58237,CDP,8,60962
1403,37644,Artas,Campbell County,SD,South Dakota,57437,Town,8,34608
2302,23796,Barton,Pierce County,ND,North Dakota,58384,CDP,8,44161
27943,24765,Nash,Walsh County,ND,North Dakota,58237,CDP,8,60962
6928,39587,Chaparrito,Starr County,TX,Texas,78582,CDP,8,24275
21829,3696,Lakeside,Jefferson County,CO,Colorado,80212,Town,8,18750
31286,24882,Pearl,Golden Valley County,ND,North Dakota,58621,Township,8,70772
13366,39827,Fernando Salinas,Starr County,TX,Texas,78582,CDP,8,24275
44033,38850,Wetonka,McPherson County,SD,South Dakota,57481,Town,8,56928
9467,27576,Cundiyo,Santa Fe County,NM,New Mexico,87522,CDP,8,46865
44134,25348,Whitby,Bottineau County,ND,North Dakota,58318 / 58748 / 58783,Township,8,66684
33473,24953,Raleigh,Grant County,ND,North Dakota,58564,CDP,8,45903
40307,40912,Tierra Dorada,Starr County,TX,Texas,78582,CDP,8,24275
12069,12178,Elkader,Logan County,KS,Kansas,67748 / 67764,Township,8,45777
9036,12082,Covert,Osborne County,KS,Kansas,67473 / 67649 / 67673,Township,8,48721
37116,38640,Sidney,Perkins County,SD,South Dakota,57640 / 57649,Township,9,51404
16460,24349,Grenora,Williams County,ND,North Dakota,58845,Township,9,71250
29831,44313,Odanah,Ashland County,WI,Wisconsin,54806,CDP,9,37764
23681,24617,Loraine,Renville County,ND,North Dakota,58761,City,9,81083
35872,40727,Sandoval,Starr County,TX,Texas,78584,CDP,9,24275
27824,38391,Mussman,Jones County,SD,South Dakota,57531,Township,9,46119
17238,12434,Harris,Anderson County,KS,Kansas,66032,CDP,9,48147
29779,15549,Ocean,Allegany County,MD,Maryland,21532,CDP,9,45500
2538,1507,Bear Flat,Gila County,AZ,Arizona,85541,CDP,9,44882
25569,692,McMullen,Pickens County,AL,Alabama,35442,Town,9,21250
15034,24272,Gerber,Stutsman County,ND,North Dakota,58475 / 58496,Township,9,70231
39316,3259,Sugarloaf Village,Tulare County,CA,California,93260,CDP,9,21250
6384,45082,Cass,Pocahontas County,WV,West Virginia,24927,CDP,9,21384
39508,25190,Sunny Slope,Bowman County,ND,North Dakota,58643 / 58651,Township,9,71986
31636,24889,Perth,Towner County,ND,North Dakota,58363,City,9,82347
20332,42606,Junction City,Grays Harbor County,WA,Washington,98520,CDP,9,46349
35204,25030,Round Top,Stutsman County,ND,North Dakota,58420 / 58476,Township,9,36250
13623,24218,Florence Lake,Burleigh County,ND,North Dakota,58494,Township,9,2500
41719,42933,Vantage,Kittitas County,WA,Washington,98950,CDP,9,49591
31268,21841,Peaceful Village,Jefferson County,MO,Missouri,63049,Village,9,53013
14460,24249,Frettim,Kidder County,ND,North Dakota,58475 / 58478,Township,9,62500
35163,38608,Roswell,Miner County,SD,South Dakota,57349,CDP,9,58545
38105,25133,Spiritwood,Stutsman County,ND,North Dakota,58481,CDP,9,70231
25399,21669,McBaine,Boone County,MO,Missouri,65203,Town,10,2500
43384,38835,Wells,Perkins County,SD,South Dakota,57649,Township,10,51404
