,id,name,county,state_code,state,zip_codes,type,population,median_income
45125,41989,Woodlawn,Fairfax County,VA,Virginia,22309,CDP,0,0
19652,143,Ivanof Bay,Lake and Peninsula Borough,AK,Alaska,99695,CDP,0,0
32265,33235,Platter,Bryan County,OK,Oklahoma,74730 / 74731 / 74753,CDP,0,0
26877,33154,Monroe,Le Flore County,OK,Oklahoma,74940 / 74947 / 74953,CDP,0,0
38171,3235,Spring Garden,Plumas County,CA,California,95971,CDP,0,0
13703,45484,Fontenelle,Lincoln County,WY,Wyoming,83101,CDP,0,0
5150,1522,Buckshot,Yuma County,AZ,Arizona,85365,CDP,0,0
21920,21566,Lambert,Scott County,MO,Missouri,63736,Village,0,0
32791,260,Portage Creek,Dillingham Census Area,AK,Alaska,99576,CDP,0,0
5219,37760,Buffalo Chip,Meade County,SD,South Dakota,57785,Town,0,0
23269,2700,Little Valley,Lassen County,CA,California,96056,CDP,0,0
32244,4115,Plantsville,Hartford County,CT,Connecticut,6479,CDP,0,0
13630,21301,Florida,Monroe County,MO,Missouri,65283,Village,0,0
13861,2418,Fort Dick,Del Norte County,CA,California,95531 / 95538,CDP,0,0
39585,310,Susitna,Matanuska-Susitna Borough,AK,Alaska,99667 / 99695,CDP,0,0
13594,8095,Floraville,St. Clair County,IL,Illinois,62298,CDP,0,0
13588,34769,Flora Dale,Adams County,PA,Pennsylvania,17307,CDP,0,0
23879,27698,Lower Frisco,Catron County,NM,New Mexico,87830,CDP,0,0
41000,3331,Twain,Plumas County,CA,California,95984,CDP,0,0
5377,32799,Burneyville,Love County,OK,Oklahoma,73430 / 73448,CDP,0,0
31229,2966,Paxton,Plumas County,CA,California,95971,CDP,0,0
21834,21556,Lakeside,Miller County,MO,Missouri,65049,City,0,0
13529,102,Flat,Yukon-Koyukuk Census Area,AK,Alaska,99503,CDP,0,0
34771,39234,Rockvale,Rutherford County,TN,Tennessee,37128 / 37153,CDP,0,0
23746,40267,Los Veteranos I,Webb County,TX,Texas,78044,CDP,0,0
20076,45515,Jeffrey City,Fremont County,WY,Wyoming,82310 / 82520,CDP,0,0
38381,855,Spruce Pine,Franklin County,AL,Alabama,35581 / 35585,CDP,0,0
38254,44664,Springbrook,Washburn County,WI,Wisconsin,54875,CDP,0,0
5007,39514,Brundage,Dimmit County,TX,Texas,78834,CDP,0,0
27048,21718,Montreal,Camden County,MO,Missouri,65591,CDP,0,0
14043,39849,Four Points,Webb County,TX,Texas,78045,CDP,0,0
4227,45059,Bowden,Randolph County,WV,West Virginia,26241 / 26254,CDP,0,0
30628,45557,Owl Creek,Hot Springs County,WY,Wyoming,82443,CDP,0,0
11104,32917,Dwight Mission,Sequoyah County,OK,Oklahoma,74962,CDP,0,0
7317,48,Chicken,Southeast Fairbanks Census Area,AK,Alaska,99732,CDP,0,0
30699,40492,Pablo Pena,Starr County,TX,Texas,78582,CDP,0,0
